access,aerialway,aeroway,amenity,area,barrier,bicycle,boundary,brand,bridge,building,covered,culvert,cutting,disused,embankment,foot,harbour,highway,historic,horse,junction,landuse,latitud,layer,leisure,lock,longitud,man_made,military,motorcar,name,natural,oneway,operator,osm_id,place,population,power,railway,ref,religion,route,service,shop,sport,surface,tags,toll,tourism,tower:type,tracktype,tunnel,water,waterway,way_area,wetland,width,wood,x,y,z_order
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3839761,,,,-99.2462632,,,,Prolongación Paseo de la Reforma,,yes,,25026368.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2788429.766427028,823459.5820956661,38.0
,,,,,,,,,,,,,,,,,,trunk,,,,,19.3830434,,,,-99.2476779,,,,Prolongación Paseo de la Reforma,,yes,,25026368.0,,,,,MEX15D,,,,,,,,,,,,,,,,,,,2788283.5828025006,823353.805156175,38.0
,,,,,,,,,,,,,,,,,,secondary,,,,,19.3827023,,,,-99.2484152,,,,,,yes,,25026375.0,,,,,,,,,,,,,,,,,,,,,,,,2788207.0883451514,823314.679572152,36.0
,,,,,,,,,,,,,,,,,,secondary,,,,,19.3823197,,,,-99.2492899,,,,,,yes,,25026375.0,,,,,,,,,,,,,,,,,,,,,,,,2788116.29149275,823270.6983941904,36.0
,,,,,,,,,,,,,,,,,,secondary,,,,,19.3821307,,,,-99.2497994,,,,,,yes,,25026375.0,,,,,,,,,,,,,,,,,,,,,,,,2788063.3317447114,823248.8169143638,36.0
,,,,,,,,,,,,,,,,,,secondary,,,,,19.3818874,,,,-99.2504764,,,,,,yes,,25026375.0,,,,,,,,,,,,,,,,,,,,,,,,2787992.944472204,823220.6067091925,36.0
,,,,,,,,,yes,,,,,,,,,secondary,,,,,19.3817981,2,,,-99.2507511,,,,,,yes,,25026376.0,,,,,,,,,,,,,,,,,,,,,,,,2787964.3640745133,823210.1999744278,336.0
,,,,,,,,,yes,,,,,,,,,secondary,,,,,19.3816145,2,,,-99.2509528,,,,,,yes,,25026376.0,,,,,,,,,,,,,,,,,,,,,,,,2787943.628443635,823189.5328982915,336.0
,,,,,,,,,yes,,,,,,,,,secondary,,,,,19.3814349,2,,,-99.2510487,,,,,,yes,,25026376.0,,,,,,,,,,,,,,,,,,,,,,,,2787933.9647672493,823169.5196905707,336.0
,,,,,,,,,yes,,,,,,,,,secondary,,,,,19.3812277,2,,,-99.2510491,,,,,,yes,,25026376.0,,,,,,,,,,,,,,,,,,,,,,,,2787934.3612177595,823146.6522714612,336.0
,,,,,,,,,yes,,,,,,,,,secondary,,,,,19.3810683,2,,,-99.2510143,,,,,,yes,,25026376.0,,,,,,,,,,,,,,,,,,,,,,,,2787938.343063935,823129.1307315837,336.0
,,,,,,,,,yes,,,,,,,,,secondary,,,,,19.3807824,2,,,-99.2508319,,,,,,yes,,25026376.0,,,,,,,,,,,,,,,,,,,,,,,,2787958.0508204317,823097.9449709489,336.0
,,,,,,,,,yes,,,,,,,,,secondary,,,,,19.3806812,2,,,-99.2506575,,,,,,yes,,25026376.0,,,,,,,,,,,,,,,,,,,,,,,,2787976.5300094774,823087.1266919756,336.0
,,,,,,,,,yes,,,,,,,,,secondary,,,,,19.3806129,2,,,-99.2504295,,,,,,yes,,25026376.0,,,,,,,,,,,,,,,,,,,,,,,,2788000.5531908055,823080.0469180453,336.0
,,,,,,,,,yes,,,,,,,,,secondary,,,,,19.3804484,2,,,-99.2497885,,,,,,yes,,25026376.0,,,,,,,,,,,,,,,,,,,,,,,,2788068.0339272744,823063.180006612,336.0
,,,,,,,,,yes,,,,,,,,,secondary,,,,,19.380375,2,,,-99.2495739,,,,,,yes,,25026376.0,,,,,,,,,,,,,,,,,,,,,,,,2788090.6645898665,823055.5106229396,336.0
,,,,,,,,,yes,,,,,,,,,secondary,,,,,19.3802915,2,,,-99.2494264,,,,,,yes,,25026376.0,,,,,,,,,,,,,,,,,,,,,,,,2788106.289190602,823046.5918399473,336.0
,,,,,,,,,yes,,,,,,,,,secondary,,,,,19.3801726,2,,,-99.2493003,,,,,,yes,,25026376.0,,,,,,,,,,,,,,,,,,,,,,,,2788119.747498605,823033.7233288273,336.0
