tipo,ruta,ubicacion,latitud_oficial,longitud_oficial,posicion,latitud,longitud,leg,stop_id
ECOBUS,SANTA FE - BALDERAS,CENTRO BANCOMER,19.36234,-99.26404000000001,8,19.36234,-99.26404000000001,inbound,4c25a20f-9670-5b51-a689-2038b59e6ca4
ECOBUS,SANTA FE - BALDERAS,BARROS SIERRA,19.361729999999998,-99.26246,9,19.361729999999998,-99.26246,inbound,301814a5-f6e2-5019-a909-2315a823f5a7
ECOBUS,SANTA FE - BALDERAS,PARK PLAZA,19.36485,-99.25984,10,19.36485,-99.25984,inbound,536aa725-5009-5bb4-ba30-b4d49f90c069
ECOBUS,SANTA FE - BALDERAS,WESTIN,19.36621,-99.25869,11,19.36621,-99.25869,inbound,3c493eb6-9b5d-5696-a734-e511611fe015
ECOBUS,SANTA FE - BALDERAS,ALAMEDA PONIENTE ,19.36884,-99.25737,12,19.36884,-99.25737,inbound,f5b99de5-daf1-5ffc-b4d4-d9730d3e6c5b
ECOBUS,SANTA FE - BALDERAS,ANTONIO DOVALI JAIME,19.36811,-99.26031,13,19.36811,-99.26031,inbound,bc6a0506-71c9-522d-9847-5940a4f9b9f8
ECOBUS,SANTA FE - BALDERAS,ROBERTO MEDELLIN,19.37262,-99.25917,14,19.37262,-99.25917,inbound,4576bf58-2b7d-5b9f-850e-af4081859770
ECOBUS,SANTA FE - BALDERAS,GUILLERMO HARO,19.37448,-99.2574,15,19.37448,-99.2574,inbound,17b75e10-8eaa-5d33-aa95-1ba78b5ad899
ECOBUS,SANTA FE - BALDERAS,MANUEL SANDOVAL,19.37566,-99.25541,16,19.37566,-99.25541,inbound,c4ea2774-2146-5d47-aa2c-1af94002b578
ECOBUS,SANTA FE - BALDERAS,ESPINOZA GUTIERREZ,19.37632,-99.25403,17,19.37632,-99.25403,inbound,9e217fc6-70f7-536a-bd16-e9969701022d
ECOBUS,SANTA FE - BALDERAS,TELEVISA SANTA FE ,19.37746,-99.25153,18,19.37746,-99.25153,inbound,0769bb09-f077-5ac8-8090-67afddde4685
ECOBUS,SANTA FE - BALDERAS,CARLOS MADRAZO,19.37821,-99.24943,19,19.37821,-99.24943,inbound,8fe21661-9a89-59ab-8518-50f70f8cb847
